carrera,institucion,duracion_formal,duracion_real,arancel_anual,duracion_formal_valor,duracion_real_valor
"Diseño de Vestuario, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,5 semestres,—,749.000,5,—
Diseño Gráfico Computacional,CFT ICEL,5 semestres,—,919.000,5,—
Diseño Gráfico Computacional,CFT ICEL,5 semestres,—,919.000,5,—
Diseño y Producción Gráfica,CFT INACAP,4 semestres,—,2.090.000,4,—
Diseño y Producción Gráfica,CFT INACAP,4 semestres,—,1.942.000,4,—
Diseño y Producción Gráfica,CFT INACAP,4 semestres,—,1.890.000,4,—
Diseño y Producción Gráfica,CFT INACAP,4 semestres,—,1.876.000,4,—
Diseño y Producción Gráfica,CFT INACAP,4 semestres,—,1.876.000,4,—
Diseño y Producción Gráfica,CFT INACAP,4 semestres,—,1.876.000,4,—
Diseño y Producción Gráfica,CFT INACAP,4 semestres,—,1.812.000,4,—
Diseño y Producción Gráfica,CFT INACAP,4 semestres,—,1.812.000,4,—
Diseño Web & Mobile,CFT INACAP,4 semestres,—,1.626.000,4,—
Diseño y Producción Gráfica,CFT INACAP,4 semestres,—,1.620.000,4,—
Diseño y Producción Gráfica,CFT INACAP,4 semestres,—,1.582.000,4,—
Diseño y Producción Gráfica,CFT INACAP,4 semestres,—,1.556.000,4,—
Diseño Gráfico,IP AIEP,5 semestres,—,1.600.000,5,—
Diseño Gráfico,IP AIEP,5 semestres,—,1.450.000,5,—
Diseño Gráfico,IP AIEP,5 semestres,—,1.450.000,5,—
Diseño Gráfico,IP AIEP,5 semestres,—,1.400.000,5,—
Diseño Gráfico,IP AIEP,5 semestres,—,1.390.000,5,—
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,7 semestres,"9,1 semestres",1.800.000,7,"9,1"
Diseño Gráfico Profesional,IP AIEP,8 semestres,"10,2 semestres",1.730.000,8,"10,2"
Diseño Gráfico Profesional,IP AIEP,8 semestres,"10,2 semestres",1.730.000,8,"10,2"
Diseño Gráfico Profesional,IP AIEP,8 semestres,"10,2 semestres",1.700.000,8,"10,2"
Diseño Gráfico Profesional,IP AIEP,8 semestres,"10,2 semestres",1.440.000,8,"10,2"
Diseño Gráfico Profesional,IP AIEP,8 semestres,"10,2 semestres",1.420.000,8,"10,2"
Diseño,IP DE CHILE,8 semestres,—,1.152.000,8,—
Diseño Gráfico,IP DUOC UC,8 semestres,"12,2 semestres",2.280.000,8,"12,2"
Diseño de Vestuario,IP DUOC UC,8 semestres,"11,8 semestres",2.200.000,8,"11,8"
Diseño Gráfico,IP DUOC UC,8 semestres,"12,2 semestres",2.130.000,8,"12,2"
Diseño Gráfico,IP DUOC UC,8 semestres,"12,2 semestres",2.130.000,8,"12,2"
Diseño Industrial,IP DUOC UC,8 semestres,"12,9 semestres",2.120.000,8,"12,9"
Diseño Industrial,IP DUOC UC,8 semestres,"12,9 semestres",2.120.000,8,"12,9"
Diseño de Ambiente,IP DUOC UC,8 semestres,12 semestres,2.100.000,8,12
Diseño de Ambiente,IP DUOC UC,8 semestres,12 semestres,2.100.000,8,12
Diseño Gráfico,IP DUOC UC,8 semestres,"12,2 semestres",1.940.000,8,"12,2"
Diseño Industrial,IP DUOC UC,8 semestres,"12,9 semestres",1.930.000,8,"12,9"
Diseño Gráfico,IP DUOC UC,8 semestres,"12,2 semestres",1.880.000,8,"12,2"
Diseño de Moda,IP INACAP,8 semestres,"11,9	semestres ",2.196.000,8,"11,9"
Diseño Gráfico Profesional,IP INACAP,8 semestres,"11,8 semestres",2.090.000,8,"11,8"
Diseño Gráfico Profesional,IP INACAP,8 semestres,"11,8 semestres",1.942.000,8,"11,8"
Diseño Gráfico Profesional,IP INACAP,8 semestres,"11,8 semestres",1.890.000,8,"11,8"
Diseño Gráfico Profesional,IP INACAP,8 semestres,"11,8 semestres",1.876.000,8,"11,8"
Diseño Gráfico Profesional,IP INACAP,8 semestres,"11,8 semestres",1.876.000,8,"11,8"
Diseño de Moda,IP INACAP,8 semestres,"11,9	semestres ",1.812.000,8,"11,9"
Diseño Gráfico Profesional,IP INACAP,8 semestres,"11,8 semestres",1.812.000,8,"11,8"
Diseño Gráfico Profesional,IP INACAP,8 semestres,"11,8 semestres",1.812.000,8,"11,8"
Diseño de Moda,IP INACAP,8 semestres,"11,9	semestres ",1.658.000,8,"11,9"
Diseño Gráfico Profesional,IP INACAP,8 semestres,"11,8 semestres",1.620.000,8,"11,8"
Diseño Gráfico Profesional,IP INACAP,8 semestres,"11,8 semestres",1.602.000,8,"11,8"
Diseño Gráfico Profesional ,IP INACAP,8 semestres,"11,8 semestres",1.582.000,8,"11,8"
Diseño Gráfico Profesional,IP INACAP,8 semestres,"11,8 semestres",1.556.000,8,"11,8"
Diseño Gráfico Publicitario,IP LOS LEONES,8 semestres,10 semestres,1.220.000,8,10
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,5 semestres,"7,8 semestres",1.612.500,5,"7,8"
Diseño Gráfico,IP SANTO TOMAS,8 semestres,—,1.821.000,8,—
Diseño Gráfico,IP SANTO TOMAS,8 semestres,—,1.718.100,8,—
Diseño Gráfico,IP SANTO TOMAS,8 semestres,—,1.718.100,8,—
Diseño Gráfico,IP SANTO TOMAS,8 semestres,—,1.685.400,8,—
Diseño Gráfico,IP SANTO TOMAS,8 semestres,—,1.610.200,8,—
Diseño Gráfico,IP SANTO TOMAS,8 semestres,—,1.552.900,8,—
Diseño,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,10 semestres,12 semestres,4.775.000,10,12
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,9 semestres,—,4.061.000,9,—
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,9 semestres,—,4.061.000,9,—
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,10 semestres,—,5.000.236,10,—
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,8 semestres,—,4.525.151,8,—
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRES BELLO,8 semestres,—,4.525.151,8,—
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,8 semestres,12 semestres,3.755.876,8,12
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,9 semestres,12 semestres,4.525.151,9,12
Diseño (NN),UNIVERSIDAD AUSTRAL DE CHILE,—,—,—,—,—
Diseño Gráfico,UNIVERSIDAD CATOLICA DE TEMUCO,10 semestres,—,3.108.000,10,—
Diseño de Imagen Especialidad Moda,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION",10 semestres,—,3.480.000,10,—
Diseño Gráfico,UNIVERSIDAD DE CHILE,10 semestres,"15,3 semestres",3.698.700,10,"15,3"
Diseño Industrial,UNIVERSIDAD DE CHILE,10 semestres,"15,3 semestres",3.698.700,10,"15,3"
Diseño Teatral,UNIVERSIDAD DE CHILE,10 semestres,—,2.794.000,10,—
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,10 semestres,—,2.490.216,10,—
Diseño Gráfico,UNIVERSIDAD DE LAS AMERICAS,8 semestres,—,2.940.250,8,—
Diseño,UNIVERSIDAD DE TALCA,9 semestres,—,3.044.500,9,—
Diseño Multimedia,UNIVERSIDAD DE TARAPACA,8 semestres,—,2.477.000,8,—
Diseño,UNIVERSIDAD DE VALPARAISO,10 semestres,"17,6 semestres",3.147.000,10,"17,6"
Diseño,UNIVERSIDAD DE VIÑA DEL MAR,9 semestres,—,—,9,—
Diseño Gráfico,UNIVERSIDAD DEL BIO-BIO,10 semestres,"13,7 semestres",2.574.000,10,"13,7"
Diseño,UNIVERSIDAD DEL DESARROLLO,10 semestres,"12,3 semestres",5.955.927,10,"12,3"
Diseño,UNIVERSIDAD DEL DESARROLLO,10 semestres,"12,3 semestres",3.688.955,10,"12,3"
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,9 semestres,"10,3 semestres",4.538.000,9,"10,3"
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,9 semestres,—,4.100.000,9,—
Diseño Gráfico,UNIVERSIDAD DEL PACIFICO,9 semestres,"11,6 semestres",3.990.000,9,"11,6"
Diseño,UNIVERSIDAD DIEGO PORTALES,10 semestres,13 semestres,4.581.000,10,13
Diseño,UNIVERSIDAD FINIS TERRAE,9 semestres,"11,9 semestres",4.256.000,9,"11,9"
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,9 semestres,—,2.990.000,9,—
Diseño Mención Industrial/Gráfico/Ambienstes,UNIVERSIDAD MAYOR,10 semestres,—,4.371.000,10,—
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,10 semestres,"15,9	semestres",3.000.547,10,"15,9"
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLOGICA METROPOLITANA,10 semestres,"17,6 semestres",2.921.858,10,"17,6"
